dimension,variant,status,operator_family,paired_rows,run_rows,exact_recovery_count,verified_equivalent_count,repaired_candidate_count,same_ast_count,compile_only_count,loss_only_count,branch_pathology_count,numerical_instability_count,median_post_snap_mse,median_runtime_seconds,candidate_pool_median,observed_effect,next_step
initialization,raw random restarts,measured_pilot,raw_eml,12,12,0,0,2,0,0,9,0,0,0.753684383334271,2.543090708029922,8.0,No verifier-gated exact recovery; raw won more loss-only rows.,Do not promote loss-only results; inspect snap margins and branch diagnostics before increasing budget.
initialization,generic i*pi phase initializers,measured_pilot,ipi_eml,12,12,0,0,0,0,0,3,0,0,2.5351613718137274,1.7395229170215316,16.0,Generic phase initialization produced loss-only signals but no exact recovery.,Do not promote loss-only results; inspect snap margins and branch diagnostics before increasing budget.
branch_guards,guarded training with faithful verification,measured_pilot,matched,12,24,0,,,,,12,0,0,1.4433509621070586,2.097683958010748,12.0,Branch diagnostics remained visible; branch-related rows did not become verified recoveries.,Compare faithful and guarded traces on the same candidates before adding stronger branch penalties.
constants,literal constants including pi,measured_pilot,matched,12,24,0,,,,,12,,,,,,"Literal pi support was present, so failure is not explained by missing pi alone.",Only test reduced constant catalogs as a controlled ablation after exact recovery appears.
depth,depth 2,measured_pilot,matched,4,8,0,,,,,4,,,1.9631409745195083,1.1715421669068746,,Depth remained within the pilot budget; no depth bucket produced exact recovery.,Increase depth only with a paired budget increase and exact-recovery denominator intact.
depth,depth 3,measured_pilot,matched,8,16,0,,,,,8,,,0.9664464006138427,2.543090708029922,,Depth remained within the pilot budget; no depth bucket produced exact recovery.,Increase depth only with a paired budget increase and exact-recovery denominator intact.
budget,pilot steps/restarts,measured_pilot,matched,12,24,0,,,,,12,,,1.4433509621070586,0.4088079165085219,12.0,Pilot budget produced only diagnostic loss-only differences.,Full or larger budgets stay blocked until a smaller pilot shows exact-recovery signal.
candidate_pooling,verifier-gated hardening candidate pool,measured_pilot,matched,12,24,0,,,,,12,,,1.4433509621070586,2.097683958010748,12.0,Candidate pooling selected snapped candidates but none passed the verifier.,Inspect low-margin slots and add neighborhood candidates before increasing campaign size.
branch_guards,unguarded faithful-only training,not_run_blocked_by_pilot_gate,matched,,,,,,,,,,,,,,Not measured in v1.16 because the pilot gate failed closed.,Run only as a controlled diagnostic after a measured exact-recovery signal appears.
constants,no-pi literal catalog,not_run_blocked_by_pilot_gate,matched,,,,,,,,,,,,,,Not measured in v1.16 because the pilot gate failed closed.,Use to test constant dependence once the current pi-enabled denominator has a positive signal.
budget,full multi-seed campaign budget,not_run_blocked_by_pilot_gate,matched,,,,,,,,,,,,,,Not measured in v1.16 because the pilot gate failed closed.,Blocked by the Phase 90 ladder because the pilot had no exact i*pi recovery.
candidate_pooling,expanded local snap-neighborhood pool,not_run_blocked_by_pilot_gate,matched,,,,,,,,,,,,,,Not measured in v1.16 because the pilot gate failed closed.,Prioritize if future pilot rows show near-miss snap margins.
