rank,candidate_uid,seed_id,pair_id,formula,target_family,seed,operator_family,candidate_id,provenance,verifier_status,evidence_class,post_snap_mse,heldout_max_abs_error,extrapolation_max_abs_error,high_precision_max_error,move_count,heuristic_gap,selected,selection_reason,rejection_reason
1,cos_pi:seed0:depth3:ipi_eml:selected_unavailable:original,cos_pi:seed0:depth3:ipi_eml:selected_unavailable,cos_pi:seed0:depth3,cos_pi,periodic,0,ipi_eml,,original_snap,pending,original_snap,,,,,0,0.0,True,No verifier-passed candidate exists; top row is reported for diagnostics only.,
2,cos_pi:seed0:depth3:raw_eml:selected_unavailable:original,cos_pi:seed0:depth3:raw_eml:selected_unavailable,cos_pi:seed0:depth3,cos_pi,periodic,0,raw_eml,,original_snap,pending,original_snap,,,,,0,0.0,False,,Preserved for provenance but not promoted over verifier-passed candidates.
3,cos_pi:seed1:depth3:ipi_eml:selected_unavailable:original,cos_pi:seed1:depth3:ipi_eml:selected_unavailable,cos_pi:seed1:depth3,cos_pi,periodic,1,ipi_eml,,original_snap,pending,original_snap,,,,,0,0.0,False,,Preserved for provenance but not promoted over verifier-passed candidates.
4,cos_pi:seed1:depth3:raw_eml:selected_unavailable:original,cos_pi:seed1:depth3:raw_eml:selected_unavailable,cos_pi:seed1:depth3,cos_pi,periodic,1,raw_eml,,original_snap,pending,original_snap,,,,,0,0.0,False,,Preserved for provenance but not promoted over verifier-passed candidates.
5,exp:seed0:depth2:ipi_eml:selected_unavailable:original,exp:seed0:depth2:ipi_eml:selected_unavailable,exp:seed0:depth2,exp,negative_control,0,ipi_eml,,original_snap,pending,original_snap,,,,,0,0.0,False,,Preserved for provenance but not promoted over verifier-passed candidates.
6,exp:seed0:depth2:raw_eml:selected_unavailable:original,exp:seed0:depth2:raw_eml:selected_unavailable,exp:seed0:depth2,exp,negative_control,0,raw_eml,,original_snap,pending,original_snap,,,,,0,0.0,False,,Preserved for provenance but not promoted over verifier-passed candidates.
7,exp:seed1:depth2:ipi_eml:selected_unavailable:original,exp:seed1:depth2:ipi_eml:selected_unavailable,exp:seed1:depth2,exp,negative_control,1,ipi_eml,,original_snap,pending,original_snap,,,,,0,0.0,False,,Preserved for provenance but not promoted over verifier-passed candidates.
8,exp:seed1:depth2:raw_eml:selected_unavailable:original,exp:seed1:depth2:raw_eml:selected_unavailable,exp:seed1:depth2,exp,negative_control,1,raw_eml,,original_snap,pending,original_snap,,,,,0,0.0,False,,Preserved for provenance but not promoted over verifier-passed candidates.
9,harmonic_sum:seed0:depth3:ipi_eml:selected_unavailable:original,harmonic_sum:seed0:depth3:ipi_eml:selected_unavailable,harmonic_sum:seed0:depth3,harmonic_sum,harmonic,0,ipi_eml,,original_snap,pending,original_snap,,,,,0,0.0,False,,Preserved for provenance but not promoted over verifier-passed candidates.
10,harmonic_sum:seed0:depth3:raw_eml:selected_unavailable:original,harmonic_sum:seed0:depth3:raw_eml:selected_unavailable,harmonic_sum:seed0:depth3,harmonic_sum,harmonic,0,raw_eml,,original_snap,pending,original_snap,,,,,0,0.0,False,,Preserved for provenance but not promoted over verifier-passed candidates.
11,harmonic_sum:seed1:depth3:ipi_eml:selected_unavailable:original,harmonic_sum:seed1:depth3:ipi_eml:selected_unavailable,harmonic_sum:seed1:depth3,harmonic_sum,harmonic,1,ipi_eml,,original_snap,pending,original_snap,,,,,0,0.0,False,,Preserved for provenance but not promoted over verifier-passed candidates.
12,harmonic_sum:seed1:depth3:raw_eml:selected_unavailable:original,harmonic_sum:seed1:depth3:raw_eml:selected_unavailable,harmonic_sum:seed1:depth3,harmonic_sum,harmonic,1,raw_eml,,original_snap,pending,original_snap,,,,,0,0.0,False,,Preserved for provenance but not promoted over verifier-passed candidates.
13,log:seed0:depth2:ipi_eml:selected_unavailable:original,log:seed0:depth2:ipi_eml:selected_unavailable,log:seed0:depth2,log,negative_control,0,ipi_eml,,original_snap,pending,original_snap,,,,,0,0.0,False,,Preserved for provenance but not promoted over verifier-passed candidates.
14,log:seed0:depth2:raw_eml:selected_unavailable:original,log:seed0:depth2:raw_eml:selected_unavailable,log:seed0:depth2,log,negative_control,0,raw_eml,,original_snap,pending,original_snap,,,,,0,0.0,False,,Preserved for provenance but not promoted over verifier-passed candidates.
15,log:seed1:depth2:ipi_eml:selected_unavailable:original,log:seed1:depth2:ipi_eml:selected_unavailable,log:seed1:depth2,log,negative_control,1,ipi_eml,,original_snap,pending,original_snap,,,,,0,0.0,False,,Preserved for provenance but not promoted over verifier-passed candidates.
16,log:seed1:depth2:raw_eml:selected_unavailable:original,log:seed1:depth2:raw_eml:selected_unavailable,log:seed1:depth2,log,negative_control,1,raw_eml,,original_snap,pending,original_snap,,,,,0,0.0,False,,Preserved for provenance but not promoted over verifier-passed candidates.
17,log_periodic_oscillation:seed0:depth3:ipi_eml:selected_unavailable:original,log_periodic_oscillation:seed0:depth3:ipi_eml:selected_unavailable,log_periodic_oscillation:seed0:depth3,log_periodic_oscillation,log_periodic,0,ipi_eml,,original_snap,pending,original_snap,,,,,0,0.0,False,,Preserved for provenance but not promoted over verifier-passed candidates.
18,log_periodic_oscillation:seed0:depth3:raw_eml:selected_unavailable:original,log_periodic_oscillation:seed0:depth3:raw_eml:selected_unavailable,log_periodic_oscillation:seed0:depth3,log_periodic_oscillation,log_periodic,0,raw_eml,,original_snap,pending,original_snap,,,,,0,0.0,False,,Preserved for provenance but not promoted over verifier-passed candidates.
19,log_periodic_oscillation:seed1:depth3:ipi_eml:selected_unavailable:original,log_periodic_oscillation:seed1:depth3:ipi_eml:selected_unavailable,log_periodic_oscillation:seed1:depth3,log_periodic_oscillation,log_periodic,1,ipi_eml,,original_snap,pending,original_snap,,,,,0,0.0,False,,Preserved for provenance but not promoted over verifier-passed candidates.
20,log_periodic_oscillation:seed1:depth3:raw_eml:selected_unavailable:original,log_periodic_oscillation:seed1:depth3:raw_eml:selected_unavailable,log_periodic_oscillation:seed1:depth3,log_periodic_oscillation,log_periodic,1,raw_eml,,original_snap,pending,original_snap,,,,,0,0.0,False,,Preserved for provenance but not promoted over verifier-passed candidates.
21,sin_pi:seed0:depth3:ipi_eml:selected_unavailable:original,sin_pi:seed0:depth3:ipi_eml:selected_unavailable,sin_pi:seed0:depth3,sin_pi,periodic,0,ipi_eml,,original_snap,pending,original_snap,,,,,0,0.0,False,,Preserved for provenance but not promoted over verifier-passed candidates.
22,sin_pi:seed0:depth3:raw_eml:selected_unavailable:original,sin_pi:seed0:depth3:raw_eml:selected_unavailable,sin_pi:seed0:depth3,sin_pi,periodic,0,raw_eml,,original_snap,pending,original_snap,,,,,0,0.0,False,,Preserved for provenance but not promoted over verifier-passed candidates.
23,sin_pi:seed1:depth3:ipi_eml:selected_unavailable:original,sin_pi:seed1:depth3:ipi_eml:selected_unavailable,sin_pi:seed1:depth3,sin_pi,periodic,1,ipi_eml,,original_snap,pending,original_snap,,,,,0,0.0,False,,Preserved for provenance but not promoted over verifier-passed candidates.
24,sin_pi:seed1:depth3:raw_eml:selected_unavailable:original,sin_pi:seed1:depth3:raw_eml:selected_unavailable,sin_pi:seed1:depth3,sin_pi,periodic,1,raw_eml,,original_snap,pending,original_snap,,,,,0,0.0,False,,Preserved for provenance but not promoted over verifier-passed candidates.
